elect               动 选举 形似erect
accountable         形 负有责任的 即responsible
addictive           形 让人上瘾的 addict 重音元音都变
aerial              形 空中的如照片攻击 名 天线 aeroplane有点像实际没关系 和imperial字母音标对很像
applicable          形 适当的 可适用的 同根词application 但元音重音都变 意似preferable
audio               名 声音 特指可以背录制传播的 即音频
badge               名 徽章 象征 后者是前者的引申
banquet             名 宴会 动 宴请赴宴 主人客人的关系 feast
barrel              名 桶 bucket barrier burial bury
bid                 名动 出价
blur                名 模糊 动 使变模糊 即指物理也可以抽象 vague
breeze              名 微风 和breathe就差一个尾音
bubble              名 气泡 动 冒泡
bud                 名 芽 动 发芽 发芽和开花blossom bloom
cabinet             名 储藏柜 有抽屉的放东西的cupboard 内阁 形似cabin
cease               动 停止 雨停了
certainty           名 确定 必然(之事) 
commonplace         名 普遍之事 形 普遍寻常的 common
companion           名 伙伴 同伴 花了很长时间在一起的人 词根company
comparison          名 比较 发音特殊
compatible          形 兼容的 和睦的 两物可以和谐共存的 自是词根
competent           形 有能力的 能胜任的 拥有成功完成某事的必要技能 和compete无关
compound            名 混合物 形 复合的 动 混合 pound pond
consistent          形 一贯的始终如一的 即始终按相同方式做 一致的 不好解释 和consist也没有关系
cord                名 绳子 corps cop rope coil
corridor            名 走廊 唯一意思的单词要熟记
coverage            名 新闻报道 覆盖
crawl               动 爬 缓慢前进后者是前者的引申
crude               名 原油 形 粗糙略的 粗鲁的 虽然像rude 但没关系 coarse多了个粗的 几乎一致
crystal             名 晶体 水晶
deck                名 甲板 卡组
deem                动 认为 是 reckon的子集
deficit             名 赤字 收入小于支出
devise              动 设计 发明
dim                 形 昏暗的 还有动词和名词 形似 dime  意似 fade rot decay
dismiss             动 解雇 对什么不予考虑 fire
drag                动 拖
drift               名 主旨 大意 名动 漂流 流动 意同 gist 形似 drill 钻井 训练
draft               名 草稿 craft 工艺
elite               名 社会精英 美英首元音变
excursion           名 远足 离题指偏离了常规的活动同digression 单打独斗 recursion递归
fatigue             名 疲劳 动 使疲劳 这也是一个关键词 vague colleague 后三个字母同
fertile             形 肥沃的 指土地泥土
fibre               名 纤维 植物组织的线 元音注意
flaw                名 瑕疵 物品上的 缺陷 人性格上的 错误 人犯的 后两者皆引申自第一个3n 和floor差个尾音 defect少了个错误 几乎一致 defend defeat
flock               名 群 指鸟人家畜 a flock of herd用法也是 a herd of 可能前者倾向于家养动物
fluid               名 液体 流体  和liquid区别 fluid指流体即没有固定形状的物质多指液体gas也可以
formulate           动 制定构想 有条理的创造和准备 formula 公式配方 formulation
fruitful            形 富饶的 即植物生产果实多的 产生有用结果的高产的 同productive  来自fruit
furnish             动 提供 配家具
