bizarre                 形 古怪的 非常奇怪不寻常 如衣着行为
bulky                   形 笨重的 占据很大空间大且笨重形容物 高大魁梧的高大肥胖的 heavily built 形容人
census                  名 人口普查 官方的统计或调查特别是人口 consensus后部同音 形似celsius centigrade Celtic
chlorophyll             名 叶绿素
clinical                形 临床的 对于真实病人的观察与治疗与理论学术研究的形成对比 如临床治疗临床症状 准确有效的冷静的 效率高没有感情冷漠无情 简朴的 (指房间或建筑物)光秃秃的、实用的、干净的  词根clinic诊所
colonize                动 建立殖民地 派遣移民到(某地)并对其建立政治控制 将...据为己用 占据某地为了个人使用 如游客占据某地 动物聚居植物大批生长 (指植物或动物)扎根于(某一地区) 同根词colony colonist
counterproductive       形 适得其反的 即产生和希望相反的结果 发音同productive
craze                   名 狂热 突然出现的对某一特定活动或物体的热情，获得广泛但短暂的流行 关键词突然广泛短暂 动 使发狂 使(某人)失去理智或失控 出现裂纹 物体表面出现裂纹网如湖面 和crane起重机鹤伸长挺像 竟然是crazy词根 crane cane
cripple                 名 有缺陷的人 有某种严重限制的人 跛子 由于残疾或背部或腿部受伤而不能正常行走或移动的人 过时且有攻击性的词 动 严重破坏损害 对…造成严重和致残的损害;使失去正常功能的 如被自我怀疑严重破坏 使成跛子 使(某人)不能正常行走或移动
cyclical                形 循环循环发生的 occurring in cycles; recurrent: 词根cycle
divine                  形 上帝的神的  of or like God or a god 令人愉快的 very pleasing; delightful 动 猜测推测 凭借直觉或者猜测发现 预言预测 有超能力看到未来
donor                   名 捐赠者 如捐钱给慈善机构 捐献者即捐出身体器官或血 词源同donate
earthy                  形 泥土泥土味的 象或使人联想到土的 粗俗的朴实的 (指人或他们的语言)直接的和无拘无束的，尤指关于性的话题或身体机能的 词根earth本身就有泥土的意思 此时同soil
empower                 动 授权 给某人权力做某事 使自主增加自主权 使人更强壮自信特别是掌控自己生活主张自己权利 就是empower字面意思
epidemic                名 传染病 在某一特定时间在某一社区广泛发生的传染性疾病 蔓延 不好的现象突然广泛传播如犯罪 形 流行的 指传染病 泛滥的 指一些不好的事 辨析 pandemic 全球性流行病范围是整个国家世界 epidemic流行病社会上普遍流行  endemic地方性流行病构成危险小 within an area or community.
fundraising             名形 资金筹集 即寻求金钱支持为了慈善或事业前者即募捐 fundraise 动 资金筹集 词源raise 短语raise some money raise本身就有筹集的意思
gravitate               动 向某人物移动或是被某人物吸引 如向某地移动或互相吸引 向重心移动 物理学单词
incidence               名 发生发生率 特别是疾病犯罪不好的事 词根incident
internship              名 实习职位 没有报酬为了经验 实习期作为实习生的一段时间 词根是intern实习生
limp                    名动 跛行 行走有困难因为脚腿不便 动 艰难行进 (指损坏的船、飞机或交通工具)艰难地前进 形 无力的无精神的 缺乏内部力量无精力活力的 limb cripple都是跛脚相关前者倾向动作后者倾向人
lobbyist                名 说客 参与有组织地试图影响立法者的人 如政治说客 词根lobby 名 门厅 大堂 动 游说使通过
manifest                形 清晰明显的 对眼睛看和脑子感受都是明显清晰的 动 表现显示 即通过外在形式表现出品质或情绪 证明 be evidence of; prove
marital                 形 婚姻的 和婚姻或夫妻关系相关的 词源自marry
medication              名 药物 使用药物的治疗 同根词medical medicine 冥想meditation发音一个辅音之差 medicine : 普通用词，可指药物的总称，也指一切有利于健康的东西medication : 指医生开给病人用的一切药物，从最简单的阿斯匹林到最复杂的药物
methodology             名 方法论 在特定研究领域活动中使用的系统的方法 词根method发音就多了个重音
misconception           名 错误观念观点看法 因为错误的思考或者理解 conception concept
nomination              名 nominate的行为和状态 以及被nominate的人或物 提名任命指定 被提名者被任命者被指定物 词根 nominate 动 提名 提出某人作为选举奖项的候选人 任命如工作职位 前者奖项后者职位宾语不同而已 指定 正式地指定(某事)通常是大事的日期或地点 前两者为人指定这里为物体指定 发音就多了个重音
notably                 副 尤其特别 especially，in particular 显眼的引人注目的 以一种引人注目的方式 词根得是note
nutritious              形 有营养的 词根nutrition
obsolescence            名 淘汰过时 变得过时不再使用的过程 obsolescent 关系不明obsolete过时的 
