wholesale           名 批发 以低价大量销售商品的生意，通常由零售商出售以赚取利润 副 批发地大量低价地 动 批发 形 大规模的 done on a large scale; extensive
obedient            形 顺从的 服从或愿意服从命令或要求的;服从他人权威的
rash                形 草率鲁莽的 没有仔细考虑可能后果的行为或行为;冲动的 名 疹 人皮肤上的红肿或斑点，尤指因过敏或疾病而出现 一连串 一连串相同类型的事情，尤指在短时间内发生的不受欢迎的事情 用法a rash of
arrogant            形 傲慢自大的 倾向于自大而非傲 对自己的重要性或能力有或显示出夸大感的
trauma              名 痛苦经历 非常痛苦或令人恐慌的经历 精神创伤 在紧张事件或身体受伤后的情绪休克，可能导致长期神经症 外伤 身体上受到的伤害医学用语 如blunt trauma
naive               形 幼稚的 (指人或行为)缺乏经验、智慧或判断力的 天真无邪的 (of a person) natural and unaffected; innocent
accessory           名 附件 附加到某物上的物品为了使某物更有用、更通用或更吸引人 如电脑配件充电器啥的 装饰品 携带或穿着以补充衣服或装备的小物件或衣物 从犯 帮助犯罪行为人而不参与犯罪的人 法律用语 形 附加的辅助的 以较小的方式对活动或过程作出贡献或提供帮助的;辅助的或补充的 也可以形容从犯吧 意似conspire
complexion          名 肤色 人皮肤的自然颜色、质地和外观，尤指面部 性质面貌 某物的总体面貌或特征:
salvation           名 拯救解救 保护或免于伤害、毁灭或损失 拯救解救的手段救星 从伤害、毁灭或损失中拯救出来的来源或手段 用法one's salvation 得救救赎 从罪恶及其后果中解脱出来，被基督徒相信是因信仰基督而带来的 同根词salvage
overhaul            名 检修彻底检修 拆开(机器或设备)以便检查和必要时修理 全面改造改革 分析和改进(system) 超过 超过(某人)，尤指在体育比赛中 用于英式英语 名 彻底检修 对机器或系统的彻底检查，必要时进行修理或更改  词源haul 动 拖 拉 名 大笔赃物 旅程
worthwhile          形 值得的 值得花时间、金钱或努力的;有价值的或重要的 形似worthless 形 无价值没用的 
alternate           动 轮流交替 occur/do in turn repeatedly 如情绪交替出现教育和工作交替 形 间隔的 every other; every second 如每隔一天 交替的 (指两件事)有规律地一个接一个
inhabitant          名 居民栖息动物 居住在或占据一个地方的人或动物 词根inhabit 动 人居住动物栖息 同根词inhabitation 名 居住 栖息
dispense            动 分发提供 向许多人分发或提供(服务或信息) 如机器提供饮料药剂师根据药房提供药 短语dispense with省区摆脱 manage without or get rid of 如省去正式礼节
perpetual           形 无休止的 never ending or changing 如噪音爱黑暗 一再反复的 频繁的:频繁得似乎没完没了的和不间断的 两个意思侧重不同 一个永远不变一直存在一个频繁出现永远出现
maritime            形 海的 与海洋有关的，尤指与海上贸易或海军事务有关的 如海上贸易近海地区海洋性气候 形似marital
assimilate          动 吸收 充分吸收和理解(信息或思想)还有食物消化吸收 吸收同化 吸收和将(人、思想或文化)和广泛的社会或文化一体化，被吸收并融入一个社会或文化 认为...是相似的把...比做 变得相似
detective           名 侦探 以调查和解决犯罪为职业的人，尤指警局官员
negligible          形 可忽略不计的 小到不值得考虑的或不重要的;无关紧要的 如风险 词根neglect 同根词negligent
assortment          名 各种各样 各色各样的事物或人的集合
detach              动 使分开拆下 使(某物或某物的一部分)脱离并移除 离开 leave or separate oneself from (a group or place) 用法detach oneself from
tub                 名 盆 一种宽的、开的、深的、通常为圆形的平底容器，用于盛放液体、种植植物等 如花盆洗衣盆浴缸
akin                形 相似的 性质或特征相似的
energetic           形 精力充沛的 表现出或涉及到活跃或活力的 词根energy
advent              名 出现到来 重要人物或重要事物的到来 
outrage             名 愤慨愤怒引起的反应 愤怒震惊引起的极其强烈的反应 暴行 引起outrage的事 如屠杀 动 激怒 激起(某人)强烈的愤怒、震惊或愤慨 冒犯践踏 公然违反(原则、法律等)
literal             形 字面上的 不带隐喻或夸张地理解词语通常或最基本的含义 逐字的 形容翻译 自是词根同根词literally 而literate literacy literary literature是另一根  
precede             动 在前先于 在时间上来得比某事早 地位高于 顺序位置来得早 同根词preceding 形 在前的 可以是顺序位置时间 位置在前就是地位高于
galaxy              名 星系 一个由数百万或数十亿颗恒星以及气体和尘埃组成的系统，它们通过万有引力聚集在一起 群英人才荟萃 一大群令人印象深刻的人或物 用法多是a galaxy of
superiority         名 优越优势 superior的状态 骄傲自大 目中无人的态度 词根superior 名 上司 形 上级的更好的 higher in rank, status, or quality
impetus             名 动力 物体运动的力或能量 物理上的动力 推动力促进因素 使一个过程或活动发生或发生得更快的东西
mediate             动 调解 为了达成协议或和解而介入争端 如通过调解促成协议解决问题 形 间接的居于中间的 通过另一个人或物间接联系的;涉及中间机构
reservation         名 保留 reserve某物的行为retain for future use 预留 为某一特定的人保留某物(尤指座位或房间)的安排 reserve 动 保留 
