exert               动 施加 施加(力量、影响或品质) 努力 做出体力或脑力上的努力 用法exert oneself
exile               名 流放 被禁止呆在本国的状态，尤指出于政治或惩罚的原因 背井离乡者 背井离乡的人，出于自愿或被迫 动 流放 驱逐或强制(某人)离开原籍国，尤指出于政治或惩罚的原因 形似excel
flee                动 逃离 从危险的地方或情况中逃跑 跑开逃跑 run away from (someone or something) 区别在于不一定危险
fuss                名 大惊小怪 不必要的或过度的兴奋、活动或兴趣的表现 动 烦恼过分担心 对某事表现出不必要的或过分的关心  形似fussy fuzz fuzzy
inferior            形 级别较低的较差的  lower in rank, status, or quality 名 级别较低的人下级 a person lower than another in rank, status, or ability 意似superior 
instinct            名 本能 动物对某种刺激作出反应时固有的、典型的固定行为模式 形容动物的 本能直觉 自然的或直觉的行动或思考方式 形容人的 形 充满(品质，尤指好品质的) 意似gut initiative intuition
intensive           形 集中的加强的 集中于单一主题或在短时间内的;非常彻底或充满活力 如课程谈判 集约的 (指农业)旨在在有限的区域内达到最大产量，尤指通过使用化学和技术手段 反义词extensive 加强的如课程研究 形似intense 强烈激烈紧张的
intimate            形 亲密的 closely acquainted;familiar 引申到(指一个地方或环境)有舒适、私密或轻松的气氛涉及非常密切联系的(指知识)详细的或全面的 私密个人的 有性关系的
invariably          副 一贯地总是地 in every case or on every occasion;always 意似consistent continual continuity continuous
jail                名 监狱 关押被指控或被判有罪的人的地方 动 监禁 put (someone) in jail 同gaol英式说法 意似prison
landscape           名 陆上风景 一块陆地上所有可见的特征，通常以其美学吸引力来考虑 动 对…作景观美化 通过改变现有的设计，增加装饰性，种植树木和灌木，使(花园或其它地面区域)更有吸引力 后缀scape表明一种具体类型的风景
lane                名 小路小巷 狭窄的道路，尤指在农村地区也可以是城市的 车道 用画线标出的道路的分界线，目的是根据速度或方向将单线交通分开 形似lame lamb
leak                动 漏 (指容器或覆盖物)意外地漏出或漏出内容物，尤指液体或气体 形容物理的东西也可以直接形容于漏出的东西 泄露 故意透露(私人或秘密的东西) 形容抽象的东西也可以直接形容于泄漏出的东西 名 漏口裂缝 容器或盖子上的洞，里面的东西可能会意外通过 漏出物 泄露 故意泄露秘密或私人的东西
lean                动 倾斜 处于或移动到倾斜的位置 斜靠 从垂直线上倾斜以靠在(某物)上休息 用法lean (something) against/on 名 倾斜 偏离垂线;一种倾斜 形 瘦的 (指人或动物)瘦的，尤指健康的;没有多余脂肪的 引申到瘦肉的(指肉)脂肪含量低的高效的(指工业或公司)有效率的，没有浪费的 不景气的 没有报酬、物质或营养的;微薄 如年 名 瘦肉 the lean part of meat
lease               名 租约 一方在一定时间内将土地、财产、服务等转让给另一方的契约，通常以定期付款作为回报 动 出租 grant (property) on lease 主语是所有者 租用 take (property) on lease 主语是租者 意形似loan
limitation          名 限制 限制的规则或情况 局限 能力受限的状态;缺陷 或limit的行为
loyal               形 忠实的忠诚的 对某人或某机构给予或表现出坚定和持续的支持或忠诚的
loyalty             名 忠实忠诚 the quality of being loyal 形容的是品质 忠心 支持或效忠的强烈感情 形容的是情感 用法多为loyalties
luggage             名 行李 装旅行中个人物品的手提箱或其他袋子 精神负担 过去的经验或长期持有的被认为是累赘的想法和意见 英式用法 形似porter
melt                动 融化 因热而液化或变得液化的 如蜡奶酪也可以是金属 使变得温柔 使或变得更温柔或有爱 如融化了我的心 消失 悄悄离开或消失 用法melt away 变成融入 不知不觉地改变或合并成(另一种形式或状态) 用法melt into 名 融化 形似fusion furnace merge
utilize             动 利用 make practical and effective use of 形似utility 
merit               名 优秀品质价值 特别好或有价值的品质，尤指值得赞扬或奖励的品质 优点 a good feature or point 良好 考试通过的分数，表示成绩高于平均水平 动 值得 值得(奖励、惩罚或注意) 意似asset 资产优势
