refine              动 提炼 从(物质)中除去杂质或不需要的元素，通常作为工业过程的一部分 如糖 形容物理的是原意 改进 为改进或阐明(理论或方法)而作微小的修改 形容抽象的引申义 形似confine
refrigerator        名 冰箱 人工冷藏的器具或隔间，用于储存食物和饮料现代冰箱通常利用挥发性液体在密封系统中被迫蒸发时产生的冷却效果 形似fridge 辨析fridge and refrigerator mean the same thing. Fridge is just a shortened name for refrigerator.
reluctant           形 不情愿的 不情愿的，犹豫的;不愿的 形似relentless
reproduce           动 复制 produce a copy of 复制才是原意 复现 在不同的媒介或环境中产生与(其他事物)非常相似的东西 一种特殊的复制如问题复现 繁殖 (指有机体)通过有性繁殖或无性繁殖产生后代 注意开头长i 意似replicate
rod                 名 杆棒 细长的直棒，尤指木头或金属的 钓竿 a fishing rod 形似lid lip lick 意似rope robe rub rib
scandal             名 丑事 被认为在道德上或法律上是错误的并引起公众愤怒的行为或事件 愤慨 由丑闻行为或事件引起的愤怒或愤怒 流言蜚语 关于丑闻事件或行为的谣言或恶意的流言 形似sandal slipper 意似outrage
secondary           形 次要的 次要的紧随其后的，次于的，或由主要的某人或某事产生的
setback             名 挫折 a reversal or check in progress 
slope               名 斜坡 一端或一边比另一端或另一边高的表面;上升面:上升或下降的表面 倾斜 某物两端或两侧在水平或侧面位置上的差异 动 倾斜 (指面或线)从水平线或垂直线倾斜;向上或向下倾斜也可以是东西如人的肩膀 意似lean incline
territory           名 领土 统治者或国家管辖下的一块土地 领域 知识、活动或经验的领域 如未知领域 意似field realm sphere
undergo             动 经历经受 经历或经受(某事，尤指不愉快或艰难的事) 
undermine           动 侵蚀根基 侵蚀(岩层)的基底或基础 侵蚀建筑物根基 在(建筑物或防御工事)下面挖或挖掘使其倒塌 逐渐暗中削弱 尤指逐渐地或暗中地削弱…的效力、力量或能力 非常经典的原意加引申义组合 形似underlie
vanish              动 突然消失 disappear suddenly and completely 不复存在绝迹 gradually cease to exist 这个又是渐渐消失 如自然环境文明 有些矛盾的单词 意似vacant vague
vitamin             名 维生素 对正常生长和营养至关重要的一组有机化合物，由于人体不能合成，所以在饮食中只需要少量
attorney            名 律师 a lawyer 美式说法 代理人 被指定在商业或法律事务上代表他人行事的人，尤指律师
bake                动 烤 用干热烹调(食物)，不要直接暴露在火焰中，通常在烤箱中 晒干晒硬 (指太阳或其他力量)使(某物)受热，尤指使其变硬 如泥土 形似bakery brake
bankrupt            形 破产的 (指个人或组织)在法律上被宣布无力偿还债务 完全缺乏的 完全缺乏某一优良品质的 如到的沦丧 名 破产者 被法院判定为破产的人，其财产为债权人的利益而被没收和处置 动 使...破产 使(个人或组织)破产
beloved             形 钟爱的 dearly loved 深受喜欢的 非常受(某一特定人群)欢迎的 名 心爱的人 a much loved person
brake               名 刹车 一种使行驶中的车辆减速或停车的装置，通常通过对车轮施加压力来实现 阻碍抑制 减慢或阻碍一个过程的东西 动 刹车 同音break
bump                名 碰撞 轻击或颠簸的碰撞 动 碰撞 猛然撞到某人或某物 颠簸行进 以一连串颠簸的动作移动或行进 形似bang bulb slam slap
cable               名 缆绳 用于建筑、系泊船只和拖曳车辆的粗钢丝或麻绳 缆绳才是原意 电缆 一根或几根绝缘的电线，有保护外壳，用于传输电力或电信信号 意似wire
champion            名 冠军 在体育比赛或其他比赛中超越所有对手的人 捍卫者提倡者 坚决支持或捍卫某人或事业的人 动 捍卫提倡 大力支持或捍卫…的事业:
civilize            动 使开化 把(一个地方或一个民族)带到被认为是更先进的社会和文化发展阶段 词根civil 形似 cultivate
conscience          名 良心 一个人的对与错的道德观念，被看作是一个人行为的指南 形似conscious conscientious
controversy         名 争论 持久的公众分歧或激烈的讨论 同根词controverse controversial
counsel             名 建议劝告 建议，尤指正式给出的建议 律师 处理案件的大律师或其他法律顾问 动 建议劝告 give advice to (someone) 向…提供专业咨询 给(某人)专业的帮助和建议以解决个人或心理问题 应该和council同音
curse               名 咒语 意在召唤超自然力量对某人或某物施加伤害或惩罚的庄严话语 咒骂 用来表达愤怒或其他强烈情感的粗俗或亵渎神明的词或短语 动 对...下咒 咒骂 形似cruise
dairy               名 乳品厂公司店 用于加工、储存和销售牛奶和奶制品的建筑物或房间 形 乳品的 containing or made from milk
definite            形 明确的 明确陈述或决定的;不是含糊不清或可疑的 同根词definitely 意似certainty
density             名 密度 物质的致密程度 是本意 密集度 在给定区域或空间中的人或物的数量 本意可能是物理学上的密度
dense               形 密度大的 物质上紧密的 密集的 组成部分紧密地挤在一起的
destiny             名 命运 将来必然发生在某人或某物身上的事件 意似fate 辨析destiny fate fate是未知的命运destiny是注定的命运 fate有贬义，人无法控制；destiny无贬义，与人有关，受人影响。
deprive             动 剥夺 阻止(某人或某地)拥有或使用某物
deprivation         名 缺乏 被认为是社会基本必需品的物质利益的严重缺乏 因为剥夺导致缺乏
derive              动 获得 从(某一特定来源)获得某物 起源于来自 如把一个概念建立在(另一概念的)扩展或修改上(指一个词)有(一个特定的词，通常是另一种语言)作为词根或起源 用法derive from 人做主语是获得物体做主语就是起源于  音似deprive
deputy              名 副手 在上级不在时被任命承担上级职责的人
elaborate           形 精细美的 包含许多精心安排的部分或细节的;复杂的:在设计和规划上详细和复杂的 动 详尽阐述 进一步详细地发展或提出(理论、政策或制度) 详细说明 就已经说过的补充更多的细节 形似embrace
embrace             动 拥抱 把(某人)紧紧地抱在怀里，尤指表示爱意 作用于人 欣然接受 欣然接受(一种信念、理论或改变) 作用于抽象事物 包括 包含(某物)作为组成部分 名 拥抱 欣然接受
expire              动 到期 (指文件、授权或协议)有效期结束 死亡 (of a person) die
entrepreneur        名 企业家 建立一个或多个企业的人，为了盈利而承担财务风险 词源同enterprise
envy                名 忌妒 对别人的财产、品质或运气的不满或怨恨的渴望 动 忌妒 渴望拥有(他人)的品质、财产或其他令人向往的东西 意似jealous 辨析 envy jealous 两者本意差不多 envy是别人有你想要 jealousy别人有你很难受 但是jealous还有一些意思 如猜疑的 小心守护的
exclude             动 拒绝...参加不让...进入 拒绝(某人)进入某个地方、团体或特权 形容具体的 排除不予考虑 remove from consideration 形容抽象的
exclusive           形 排斥的唯一的 excluding or not admitting other things 独有的 仅限于有关的人、团体或地区的 高档的 只提供给少数选定的顾客饮食;高档昂贵 不包括的 not including 如价格不包括某项服务 用法exclusive of
faulty              形 有缺陷的 不能正常工作或制造的;有缺陷 如机械装置性格特点 错误的 (指推理和其他心理过程)由于缺陷而错误的或误导的 词根fault 名 缺点 过错责任 音似forty 意似flaw defect
favor               名 赞同支持 赞成、支持或喜欢某人或某事 特殊照顾偏袒 过分慷慨的优惠待遇 动 赞同支持 feel or show approval or preference for 特殊照顾偏袒 给予不公平的优惠待遇 有利于 work to the advantage of 赐予 (通常用于礼貌的请求)给某人(想要的东西) 用法favour someone with
favorable           形 赞同的肯定的 expressing approval 有利的 to the advantage of someone or something  同根词favorite
fierce              形 凶猛的 具有或表现出强烈的或凶猛的攻击性的 如老虎 天气狂暴的 (指天气或温度)强大的和破坏性的 情感强烈的 表现出真诚而有力的强度 后两者都是凶猛的的引申义 意似severe 
fleet               名 舰队船队 一起航行、从事同一活动或在同一所有权下的一组船只 海军 a country's navy 车队 一组车辆或飞机一起或在同一所有权下运行 用法多是a fleet of 形似flee
gadget              名 小机械小装置 小型机械或电子装置或工具，尤指精巧的或新颖的 意似apparatus novelty
grace               名 优雅 动作的流畅和优雅 大度风度 礼貌的善意 动 给…带来荣耀使...增色 通过出席或参与给(某人或某事)带来荣誉或荣誉 装饰 (指人或物)出现使得引人注目
harsh               形 刺眼刺耳的 令人不愉快的粗糙的或对感官刺激的 残酷严厉的 cruel or severe 如军队纪律 引申到(指气候或条件)难以生存的(指现实或事实)令人不快的
hijack              名动 劫持 非法扣押在运输途中的(飞机、船只或车辆)并强迫其前往另一个目的地或为自己的目的而使用
idle                形 懒惰的 (指人)逃避工作;懒惰的 引申到(指人)不工作的;失业的(尤指机器或工厂)不活跃的(指时间)以不作为或缺乏重要活动为特征的就是空闲的(指钱)以现金或不支付利息的账户持有 人空闲两种原因到时间机器金钱的空闲 无意义的 没有目的或效果的;没有意义的 如无意义闲聊 动 游手好闲 花时间无所事事 音同idol
impulse             名 冲动 突然强烈而不加思索的行动冲动或欲望 推动力 导致某事发生或发生得更快的事物;一个动力 脉冲 脉冲 电能的脉冲;短暂的电流 电器用语 形似impose pulse 意似impetus
inevitable          形 必然发生的不可避免的 certain to happen; unavoidable 名 必然发生的事 a situation that is unavoidable 用法the inevitable 形似indispensable
invade              动 侵略武力入侵 (指武装部队)进入(一个国家或地区)以征服或占领它 大批涌入 大量进入(一个地方、情况或活动范围)，尤指具有侵入性的效果 扩散渗入 (指寄生虫或疾病)传播到(有机体或身体部位) 侵扰 encroach or intrude on 如隐私 辨析invade intrude invade “侵入”、“侵犯”、“侵袭”，语气较重，可指武装入侵（by force）蜂拥而入 (in large numbers) 或强势进入 (in forceful or noticeable way) 也可指其他方面的入侵或侵犯，如侵犯隐私、权利等。名词是 invasion。 intrude “侵扰”、“闯入”，指未受邀请、未得到允许或不适时宜地进入、侵入或闯入某地方或某种状况（to go into a ​place or ​situation in which you are not ​wanted or not ​expected to be）。这种侵入和闯入可能是有意的，也可能是无意的。可与介词 in/into、on/upon 连用。 两者使用场景不同 且intrude 程度较轻 invade 程度较重
invasive            形 侵入的肆意蔓延的 倾向于迅速地、不受欢迎地或有害地蔓延的 侵扰的 倾向于侵犯某人思想或隐私的 开刀的 (指医疗程序)涉及将器械或其他物体引入身体或体腔的
justify             动 为...辩解 显示或证明是正确的或合理的 是...的正当理由 be a good reason for 两者意思同前者人做主语后者物做主语
machinery           名 机器 集合名词 machines collectively
mortgage            名 抵押贷款 银行、房屋互助协会等借贷有利息以换取债务人财产所有权的法律协议，条件是所有权的转让在债务得到支付后失效 动 抵押 把(财产)作为贷款的担保转让给债权人 意似loan pledge
negotiate           动 谈判 通过讨论获得或带来 解决通过 找到越过或穿过(障碍或困难路线)的方法
