token               名 象征标志 作为一种事实、品质、感觉等的可见或可触摸的表示 代金券 可以交换商品或服务的代金券，尤指作为礼物赠送或作为促销活动的一部分 引申到(金属塑料)代币 用于操作机器或交换特定商品或服务的金属或塑料圆盘 形 装点门面的象征性的 为了外表外观或象征性的姿态而做的
drawback            名 缺点 人难以接受的特征;缺点或问题
jargon              名 行话黑话 难以理解的专业或团体使用的特殊词汇或表达 皓石 一种半透明的、无色的或烟熏状的锆石
weary               形 疲惫的(形容人) 感到或表现出极度疲劳的，尤指由于过度劳累而引起的 引申到令人疲劳的 需要大量精力或耐力的;累人的、乏味的 厌倦厌烦的 不愿再看到或经历的;厌倦了 动 使疲惫 cause to become tired 倦怠 grow tired of or bored with 
uranium             名 铀 原子序数为92的化学元素，一种致密的灰色放射性金属，用作核反应堆的燃料。
pedal               名 自行车(靠腿推动的车)踏板脚蹬子 一对脚操纵的杠杆中的每一个，用来驱动自行车或其他由腿推动的交通工具 机动车踏板 机动车辆中由脚操纵的油门、刹车或离合器控制装置 钢琴踏板 动 用脚蹬骑车 通过踩自行车踏板移动 (尤指以一种特殊的风格)踩动钢琴踏板 使用钢琴、管风琴或其他键盘乐器的踏板，尤指以一种特殊的风格 
disarm              动 缴…的枪械解除…的武装 从(某人、军队或国家)拿走一件或多件武器 引申到裁军 (指国家或军队)放弃或减少其武装力量或武器 或者拆除(炸弹等的)引信 拆除(炸弹)的引信，使其安全 消除...的敌意使友好 消除敌意或猜疑 引申到剥夺伤害的力量 名 解除(某人的)武器 从某人手中拿走武器的行为 
gorge               名 峡谷 丘陵或山脉之间的狭窄山谷，通常有陡峭的岩壁和一条流过的小溪 动 狼吞虎咽 贪婪地吃很多;吃饱肚子 形似gorgeous
franchise           动 特许经销权 政府或公司给予个人或团体的授权，使他们能进行特定的商业活动，例如作为公司产品的代理 引申到特许经销企业 选择权 在公共选举中投票的权利 引申到公民权 the rights of citizenship 动 给予…特许经销权 授予(个人或团体)特许经营权
seam                名 线缝 缝在衣服或其它物品上把两块织物缝在一起的线 引申到接缝 两块木头、墙纸或其它材料的边缘相互接触的线 或者细长的凹痕或疤痕 矿藏 地下矿物层，如煤或金 动 缝合 sew the seam of or join with a seam 在…上留下又长又窄的凹痕
prophet             名 (宗教的)先知预言家 被认为是受神启示的老师或上帝旨意的宣讲者 音同profit
crouch              动 蹲伏 采取膝盖弯曲，上半身向前和向下的姿势，通常是为了避免被发现或保护自己 名 蹲伏(姿势) a crouching stance or posture
appraise            动 评价评估 评估…的价值或质量 引申到正式评价评估(员工)的表现
infringe            动 违反触犯 违反(法律、协议等)条款 侵犯侵害 限制或破坏(某物);encroach on 如自由隐私
zeal                名 热情狂热 为追求事业或目标而付出的巨大精力或热情
solo                形 单独表演的 由一个人单独完成的;无人陪伴的 副 单独地 for or by one person alone 动 独奏 一个表演者演奏的声乐或器乐的一段 单独飞行 飞行员在飞机上无人陪伴的飞行 名 独奏 单独飞行
mob                 名 暴民 一大群人，尤指不守秩序并企图制造麻烦或暴力的人 犯罪团伙 黑手党或类似的犯罪组织 动 把…团团围住成群涌入 不守规矩地围住(某人)或挤进(某地) 引申到(一群鸟或哺乳动物)围攻 (指一群鸟或哺乳动物)包围并攻击(捕食者或其他威胁源)以将其赶走
cunning             形 狡猾的 具有或表现出通过欺骗或逃避达到目的的技巧的 引申到ingenious 名 狡猾 通过欺骗达到目的的技巧 引申到ingenuity
stagnate            动 (指水或空气)因停滞不流动(而变得污浊) (指水或空气)停止流动或移动;变得停滞不前 引申到停滞不进步 停止发展;变得不活跃或沉闷
hypocrite           名 伪君子伪善的人 a hypocritical person
beam                名 梁 用来支撑屋顶或楼板的一块长而结实的正方形木材或金属 光柱 a ray or shaft of light 笑容喜色 容光焕发或和蔼可亲的表情或微笑 动 定向发射(无线电信号或广播) 向特定方向发射(无线电信号或广播) (灯或光源)照耀 (指灯或光源)shine brightly 笑容满面 smile radiantly
tempo               名 (乐曲的)速度 一段音乐正在或应该演奏的速度 (运动或活动的)速度 运动或活动的速率或速度 意似temporal
stipulate           动 规定明确要求 要求或指定(要求)，通常作为协议的一部分 
rehabilitate        动 使...康复使...恢复正常生活 通过训练和治疗使(某人)在监禁、成瘾或生病后恢复健康或正常生活 引申到恢复…的名誉 在一段不受欢迎的时期后恢复(某人)以前的特权或名誉 或者修复 恢复(某物，尤指建筑物或环境特征)到原来的状态 意似revive
motel               名 路边旅馆汽车旅馆 主要为驾车者设计的路边旅馆，通常将房间安排在低矮的街区内，并直接在外面停车
scrub               动 擦洗 使劲擦(某人或某物)以使其清洁，通常用刷子和水 取消 cancel or abandon (something) 名 擦洗 名 灌木丛矮树丛 主要由灌木或矮小的森林植物组成的植被
radioactive         形 有放射性的 发射或关于发射电离辐射或粒子的
