overpass            名 立交桥人行天桥 公路或铁路线通过的桥梁 动 超过 surpass 不多见
snob                名 势利的人 过分尊重高社会地位或财富的人，寻求与社会地位高的人交往，看不起社会地位低的人 引申到自以为懂行者 认为自己在某一特定领域的品味高于他人的人 形似snore sober
transient           形 短暂的 只持续很短时间的;无常的 引申到暂住的(工作)临时的 只在一个地方短暂停留或工作的 名 暂住者流动人口 在某地停留或工作很短时间的人
dissent             动 异议持异议 持有或表达与通常或官方持有的观点不同的观点 名 异议 与一般或官方观点不同的观点的持有或表达 如法庭判决 不服裁判 (在体育运动中)对裁判的判罚表示不同意的行为
latitude            名 纬度 地球赤道以北或以南的地方或天体赤道的角距离，通常用度和分表示 引申到(纬度)地区 区域，尤指它们的温度和离赤道的距离 用法latitudes 自由 行动或思想自由的范围
intellect           名 思维能力 客观地推理和理解的能力，尤指关于抽象事物的能力 引申到智力 a person's mental powers 或者聪明人才智出众者 a clever person
periodical          名 期刊 定期出版的杂志或报纸 形 周期性的定期的 间歇发生或出现的;偶尔 引申到定期出版的 (指杂志或报纸)定期出版的 同根词periodic 意似quarterly
tanker              名 油轮油罐车空中加油飞机 散装运输液体(尤指矿物油)的船、车辆或飞机 坦克手 坦克乘员军用坦克乘员中的一员 美式说法 动 用tanker运输(液体)
affirm              动 断言 强调地或公开地陈述 引申到声明宣称拥护 表示支持;维护;保护 或者批准 接受或确认(判决或协议)的有效性;批准 支持鼓励肯定 给予(某人)情感上的支持或鼓励 引申到肯定 赋予(生命)更高的价值感，尤指通过情感上或精神上振奋的经历
clockwise           形 顺时针的 与时钟指针转动的方向相同的方向 副 顺时针地
jolly               形 欢乐的令人愉快的 happy and cheerful 副 很非常 very; extremely 动 鼓励(某人) encourage (someone) in a friendly way 引申到劝(某人)高兴 使某人或某物更活泼或愉快 名 聚会庆祝活动 a party or celebration
fling               动 扔猛扔 throw or hurl forcefully 引申到猛推猛冲 突然地或猛烈地移动或推(某物) 或者全身心投入 以极大的精力和热情开始或从事(一项活动或事业) 用法fling oneself into 或者go quickly and angrily 名  一时的放纵 短暂的享乐或狂野的行为 引申到短暂风流韵事 短暂的、自发的性关系
unify               动 (使)统一联合 make or become united, uniform, or whole 竟然和unite unity无关 辨析Unite is mainly used when referring to people or things that are close to us. Unify is usually used when discussing larger things, concepts, and abstract bodies that are not close to us. But, these are not strict rules. The words mean the same thing, and people use them however they want.
analogue            名 模拟的 用连续可变的物理量(如空间位置、电压等)表示的信号或信息的 如模拟信号和数字信号形成对比 引申到(钟表)指针式的 (指时钟或手表)用指针或指针而不是数字显示时间 或者不涉及或与计算机技术的使用有关的，作为与数字技术相对立的 名 类似物人 被视为与另一个人或物相比较的人或物 美式写法analog 词根analogy 类比
stationery          名 文具(信)纸 writing and other office materials 词根stationer 文具店
minibus             名 小型公共汽车 a small bus for about ten to fifteen passengers
gleam               动 发光发微光 明亮地发光，尤指用反射光 引申到反光 (指光滑的表面或物体)反射光线，因为抛光得很好 或者(眼睛)表露流露 (指情感或品质)通过一个人眼睛的亮度来表达 名 微光反光 微弱的或短暂的光，尤指从某物反射出来的光 引申到一丝一线(情感)闪现 短暂的或微弱的品质或情感的实例或一个人眼中的情感或品质的表达 意似glitter
buffer              名 缓冲物缓冲人 在不相容或敌对的人或物之间减少冲击或形成屏障的人或物 缓冲溶液 当加入酸或碱时能抵抗pH值变化的溶液 也作buffer solution 缓冲器 在处理或传输数据时存储数据的临时存储器，尤指在播放视频或下载音频时使用的存储器 计算机术语 动 缓冲缓和 减轻或缓和(某事)的影响 用化学缓冲液处理 缓存数据 在处理或传输(数据)时将(数据)存储在缓冲区中 名 老顽固 :被认为愚蠢、老土、不懂世事或无能的老人 英式非正式
detain              动 耽搁阻留 通过阻止(某人)前进或引起他们的注意来阻止(某人)前进 引申到拘留 将(某人)置于官方拘留之下，尤指在询问犯罪或政治敏感情况时 或者扣押 正式扣押(货物)
synonym             名 同义词 与同一语言中的另一个词或短语的意思完全相同或几乎相同的词或短语，例如shut是close的同义词 引申到代名词 一个人或一件事与一种特殊的品质或观念密切相关，以至于一提到他们的名字就会使人想起它
Easter              名 复活节 基督教会最重要和最古老的节日，庆祝基督的复活，在3月21日至4月25日举行(在西方教会)，在北方春分后的第一个满月后的第一个星期天
maternal            形 母亲的 与母亲有关的，尤指在怀孕期间或产后不久的 引申到慈母般的 (指感情)典型的有爱心的母亲;母亲的 或者母系的 通过母系亲属联系
symmetry            名 对称性 由完全相似的部分彼此面对或围绕一个轴组成的性质 引申到对称 事物各部分的正确或令人满意的比例 物理或者抽象都可 如诗歌对称 或者相似相等 不同事物之间的相似或完全对应
whirl               动 旋转 快速地移动或使快速地一圈又一圈地移动 引申到(使)飞跑疾驶 move or cause to move rapidly 或者(思绪)混乱繁忙 (指头脑、思想或感觉)似乎在打转 名 旋转 a rapid movement round and round 引申到繁忙 特定种类的疯狂活动
almighty            形 全能的 有完全权力的;无所不能的 引申到极大的 very great; enormous 名 上帝全能者 a name or title for God 用法the Almighty
stationary          形 静止停滞固定的 not moving or not intended to be moved 引申到(数量)停滞固定的 在数量或条件上不变的 同音stationery
wink                动 眨眼眨眼示意 快速地闭上并睁开一只眼睛，通常用来表示某事是笑话或秘密，或作为感情或问候的信号 引申到对...视而不见 假装没注意到(不好的或非法的事情) 用法wink at 闪烁 (指明亮的物体或光)断断续续地发光或闪烁 名 an act of winking
meticulous          形 非常仔细注意细节的周密一丝不苟的 非常注意细节的;非常仔细和精确的
electoral           形 选举的选举人的 relating to elections or electors 词根elect
commonwealth        名 国家独立的政治共同体(尤指民主共和国) 引申到组织 国家或其他机构的集合或分组或在非政治领域中有共同利益的社团或组织 独立的国家或社区，尤指民主共和国 英联邦 一个由英国和以前属于大英帝国的国家以及附属国组成的国际组织 用法the Commonwealth全称是the Commonwealth of Nations
appraisal           名 评价评估 an act of assessing something or someone 引申到对员工在一段时间内的表现的正式评估，通常在面试中进行 词根appraise 动 评价评估 评估…的价值或质量 引申到正式评价评估(员工)的表现 一一对应
timid               形 胆怯的羞怯的 表现出缺乏勇气或信心的;很容易害怕
crumble             动 崩裂坍塌 破裂或分裂成小碎片，尤指作为恶化过程的一部分 引申到成碎屑碎裂 使(某物)分裂成小碎片 或者破裂崩溃 (指抽象的东西)在一段时间内逐渐瓦解 名 酥皮 面粉和脂肪的混合物，揉成面包屑的质地，煮熟后用作水果的浇头 引申到 酥皮水果布丁 用crumble和水果做成的甜点
