supersonic          形 超音速的 关于或以高于声速的速度传播的
inaugurate          动 开创开始施行 开始或引入(一种制度、政策或时期) 引申到使…就职为……举行就职典礼 正式承认(某人)就职 或者为…举行开幕式 以特别的事件或仪式标志(一个组织或项目)的开始或首次公开使用
posture             动 故作姿态装腔作势 以一种有意给人留下印象或误导的方式行事或者采取(一种特定的态度)以引起注意或误导 物理和抽象两种 名 姿势仪态 某人站着或坐着时保持身体的姿势 立场态度 特殊的方法或态度 引申到故作姿态 旨在传达错误印象的行为方式;一个姿势 意似stance
jockey              动 运用手段图谋谋取哄骗 用一切可能的手段争取获得或实现某事 引申到熟练操作使用 熟练地处理或操纵(某人或某物) 名 赛马骑手 在赛马中骑马的人，尤指作为职业的人
bishop              名 主教 基督教神职人员的高级成员，通常负责教区并有权授予圣职 象 一种国际象棋棋子，其顶部形状典型地像一个冠状，可以沿着它所在的对角线向任何方向移动每个玩家开始游戏时都有两个主教，一个在白色方块上移动，另一个在黑色方块上移动
overthrow           动 推翻废除 remove forcibly from power或者用武力结束(某事) 前者特别指推翻当权者有权力者后者指物如制度 投球过猛超过 把(球)扔得比预定距离更远 名 推翻 a removal from power 投球过猛超过 (在板球、棒球和其他比赛中)把球抛过预定的接受者或目标的一次投掷
dissipate           动 消散消失 (指感觉或情感)消失或使消失 引申到消散消失(形容其他东西) disperse or scatter 形容物理的其他的东西如烟雾 浪费耗尽 浪费或浪费(金钱、精力或资源)
hose                名 软管水龙带 一种输送水的柔性管，主要用于浇花和消防 连裤袜长筒袜 长袜、短袜和连裤袜(尤指商业用途) 动 用软管浇冲洗 water or spray with a hose
paralyse            动 使…瘫痪麻痹 使(人或身体的一部分)部分地或完全地不能活动 引申到(因恐慌)使丧失思维活动能力 使(某人)不能正常思考或行动，尤指由于恐慌或恐惧 或者使不能正常运作使陷入瘫痪 通过引起中断扰乱而使(一个系统、地点或组织)停止运转 物理的然后抽象的最后特定的 音似parallel paradise
afflict             动 折磨使痛苦 (指问题或疾病)引起痛苦或麻烦;负面影响 意似ail 形似inflict
abide               动 服从遵守 接受(规则、决定或建议)或按照(规则、决定或建议)行动 用法abide by 忍受 能够容忍(某人或某事) 用法can/could abide (感情记忆)始终不渝持续 (指感觉或记忆)持续而不褪色或消失
appal               动 使惊骇大为恐惧 greatly dismay or horrify
slick               形 娴熟的灵巧的 以令人印象深刻的平稳和有效的方式完成或运作的 引申到华而不实的圆滑的 光滑的，表面上令人印象深刻，但不真诚或肤浅的 光滑润泽的滑溜溜的 (指皮肤或头发)光滑的或者(指表面)光滑、潮湿和滑的如墙 名 (油罐泄漏等造成的)浮油 an oil slick 层用量 有光泽或油性物质的涂抹或用量 用法a slick of (赛车)磨光轮胎 一种没有胎面的赛车或自行车轮胎，用于干燥的天气 外表华丽内容肤浅的刊物 a glossy magazine 机灵鬼滑头 巧舌如簧、有说服力但不值得信任的人 动 使(头发)光滑亮滑 用水、油或凝胶使(某人的头发)变平、光滑和有光泽 引申到湿的湿滑的 用一层液体薄膜覆盖;使湿的或滑的:
fuse                动 结合熔合 join or blend to form a single entity 指抽象的东西如家庭或者物理高温熔化结合 把…的保险丝熔断 (指电器)保险丝熔化时停止工作 给…接上安装保险丝 给(电路或电器)安装保险丝 名 保险丝 一种安全装置，由一条电线组成，当电流超过安全水平时，它会熔化并断开电路 名 导火线引线 一段材料，小火焰沿着这段材料移动以引爆炸弹或烟花，同时让点燃它的人有时间移动到安全的距离 动 装导火线引线 给(炸弹、炮弹或地雷)装导火线
defiance            名 违抗 公开抵抗;大胆的反抗 词源defy
mobilize            动 动员参战调集 (指一个国家或其政府)准备和组织(部队)服役 引申到组织鼓动 组织和鼓励(一群人)采取集体行动来追求一个特定的目标 或者动用 使(资源)用于某一特定目的 两个关键词动和用作用的对象不同目的不同 使移动流动 使(某物)可移动或能移动或者使(物质)能以液体的形式或以液体的形式运输 词根mobile
witch               名 巫婆女巫 被认为有魔力的人，尤指邪恶的人，通常被描绘成穿着黑色斗篷，戴着尖顶帽子，骑在飞天扫帚上飞行的女人 丑老太婆 丑陋的或令人讨厌的女人 迷人的女子 具有迷人魅力的女人 动 (巫婆)施魔法于 cast an evil spell on (女子)把(男子)迷住 引申到 (指女人)使(男人)着迷
optic               形 眼睛的视觉的 relating to the eye or vision 名 (光学仪器的)镜头，光学部件 光学仪器中的透镜或其它光学部件
ranch               名 大牧场农场 大农场，尤指在北美或澳大利亚饲养牛或其他动物的大农场 动 经营牧场农场 run a ranch 引申到在农场饲养(牲畜)或者把(土地)用作牧场(或农场)
soluble             形 可溶解的 (指物质)可溶解的，尤指溶于水的 可解决的 (指问题)可以解决的
lime                名 生石灰 一种由氧化钙组成的白色苛性碱物质，通过加热石灰石得到，与水结合产生大量热量;生石灰 酸橙 一种圆形的柑橘类水果，类似柠檬，但更绿、更小，有独特的酸味 引申到酸橙树酸橙汁饮料酸橙绿色 动 给…撒涂石灰 用石灰处理(土壤或水)以降低酸度，提高肥力或氧气水平或者用石灰处理(木材，尤指橡木)，使其具有漂白的外观
mute                形 缄默的无声的 不说话或暂时不说话的 哑音的 (指字母)不发音的 动 消音减音 使声音减弱、消音或软化 关闭声音 关闭(麦克风或电子设备上的音频)，尤指暂时关闭 意似dumb
consulate           名 领事馆 执行执政官职责的大楼
fort                名 堡垒要塞 坚固的建筑或战略位置
flare               名 火光 明亮的火焰或光突然的短暂爆发 引申到情感突然爆发 喇叭形展开 形状逐渐变宽，尤指衣服的下摆 引申到喇叭裤 动 闪光闪耀 突然强烈地燃烧或闪耀 呈喇叭形展开 一端逐渐变宽
longitude           名 经度 在格林威治子午线以东或以西，或在天体的标准子午线以西的地方的角距离，通常用度和分表示 意似latitude
batch               名 一批 一次生产的数量或一批货物 引申到一批(人物) 被视为一组或一组的一些事物或人 或者(计算机的)一批(程序) 作为一个单元处理的一组记录，通常不需要用户的输入 用法都是a batch of 动 分批分批处理 把(事物)排成一组或一组
agitate             动 使焦虑 使(某人)不安或紧张 也就是搅动一个人的心 搅动 迅速搅动(某物，尤指液体) 鼓动煽动 引起公众对某一问题的关注，希望能促使人们采取行动的运动 也就是搅动一群人的心
pilgrim             名 朝圣者 因宗教原因前往圣地的人 动 去朝圣像朝圣者那样旅行 travel or wander like a pilgrim
doctrine            名 教义信条 由教会、政党或其他团体持有和教导的信仰或一套信仰 引申到政府政策的明确原则，主要指外交或军事事务 意似dogma
yacht               名 帆船游艇 为巡航或比赛而装备的帆船或者装有巡航设备的动力船或小船 动 驾帆船比赛乘游艇 race or cruise in a yacht
martyr              名 殉道者烈士 因其宗教或其他信仰而被杀害或遭受痛苦的人 乞怜者 为了获得同情而表现或夸大自己的不适或痛苦的人 引申到长期受某苦难的人 长期受(疾病)折磨的人 用法be martyr to 动 使殉难 因为(某人)的信仰而杀害或迫害他们 引申到折磨带来痛苦 给…带来巨大的痛苦或苦恼
nil                 名 无零 一无所有，尤指在某些游戏中的得分;零 形 不存在的 non-existent
