uprising            名 起义暴动 抵抗或反抗的行为;一个起义 词根uprise 动 升起上升 上升到站立或升高的位置 文学用法
given               形 规定特定的(假定假设的) specified or stated 有倾向的 倾向于 用法given to 介 鉴于考虑到 taking into account 名 已知确定的情况 已知的或确定的事实或情况
dissident           名 持不同政见者 反对官方政策的人，尤指专制国家的政策 形 持不同政见的 in opposition to official policy
bout                名 一次一阵一番 特定种类的短暂的激烈活动 引申到发作发病期 突发疾病或强烈情绪的发作 或者摔跤拳击比赛 摔跤或拳击比赛 相关乐器边缘的曲线 小提琴、吉他或其他乐器侧面的曲线
voucher             名 票券 一张小的印刷纸，使持有者享有折扣，或可以交换商品或服务 如礼券/午餐券/打折优惠券 引申到收据 a receipt 英式说法
metallic            形 金属的 与金属有关的或类似金属的 引申到似金属撞击的 (指声音)类似于金属物体相互撞击产生的声音;尖锐而响亮 或者(指人的声音)通过电子媒介发出的 或者有金属光泽的 有金属光泽的;彩虹色的 名 金属制品金属色泽颜色 具有金属光泽的油漆、织物或颜色
appease             动 抚慰平息 通过满足(某人)的要求来安抚或安抚他们 缓解 缓和或满足(要求或感觉) 如饥饿罪恶 后者指解决真正问题的核心前者倾向于解决问题后带来的效果 意似soothe alleviate
cauliflower         名 花椰菜 一种卷心菜，长有乳白色小花蕾的大的未成熟花头 引申到菜花 作为蔬菜食用的花椰菜的花头
exponent            名 倡导者 支持某一观点或理论并试图说服人们相信其真实性或益处的人 引申到大师 以高标准展示某一特定技能的人 指数 表示某一给定数字或表达式的power，通常表示为数字或表达式旁边的一个凸起的符号 这个整体叫指数
inflict             动 带来使遭受 使某人或某物遭受(不愉快或痛苦的事情) 引申到强加 把不受欢迎的东西强加于 用法inflict something on 意似impose
purify              动 使洁净净化 remove contaminants from 引申到提纯提取 extract something from 或者(遵循仪式的)洗涤净化 make ceremonially clean
blink               动 眨眼 快速闭上眼睛，睁开眼睛 引申到眨眼控制(眼泪) 试着通过眨眼来控制或防止眼泪 用法blink something back 或者表示惊讶不赞同 对(某事)作出惊讶或不赞成的反应 用法blink at 或者退让让步 从对抗中退让 闪烁 (指灯)有规律地或断断续续地闪烁 名 眨眼 引申到片刻的犹豫 a moment's hesitation 闪烁 
barometer           名 气压计晴雨表 一种测量大气压力的仪器，尤用于预报天气和确定海拔高度 引申到变化的标志指标 反映环境或观点变化的事物
deduce              动 推断 通过推理得出(事实或结论);得出合乎逻辑的结论 似乎和deduct有点关系
latent              形 潜在的隐藏的 (指性质或状态)存在但尚未发展或显示的;隐藏的或隐蔽的 如疾病暂未展现出症状
henceforth          副 从此以后从那以后 from this or that time on 同henceforward
pudding             名 甜食甜点 在正餐后端上的一道菜 布丁 用糖和面粉做成的甜的或咸的蒸菜 可以是肉馅布丁 引申到胖或者蠢的人 a fat or stupid person
avail               动 帮助有用有益于 help or benefit 利用 利用(机会或可利用的资源) 名 帮助有用有益于 use or benefit 形似ail
denial              名 否认拒绝给予 the action of denying something
hive                名 蜂房 a beehive 引申到蜂房中的蜜蜂蜂群蜂房形状的东西 忙碌的场所人们忙碌的地方 动 放入进入蜂房 place (bees) in a hive或者(of bees) enter a hive
lenient             形 仁慈的宽大的 (指惩罚或当权者)比预期更仁慈或宽容的
elegant             形 优雅的高雅的 外表或举止优雅的和时髦的 简明的 (指科学理论或解决问题的方法)巧妙而简单
insane              形 愚蠢的疯狂的 very foolish, irrational, or strange 引申到发怒烦躁逼疯的 极度烦躁的、心烦意乱的或失控的 精神失常的 缺乏被认为是正常的思考和行为能力的，尤指由于严重的精神疾病  令人震惊的 shocking; outrageous 引申到令人震惊的好印象深刻 惊人的好或令人印象深刻的
inhibit             动 抑制阻止防止禁止 阻碍、限制或阻止(行动或过程)或者阻止或禁止(某人)做某事 使尴尬 使(某人)感到难为情，不能以放松和自然的方式行事
glide               动 滑动滑行 以平稳、安静的连续动作移动或者平稳连续地移动(某物) 滑翔 无动力飞行，无论是在滑翔机还是在发动机故障的飞机上 名 滑动滑行 滑翔
stout               形 肥胖的 (指人)相当胖或体格魁梧 粗壮坚固的 (指物体)结实而厚实 勇敢顽强的 有或表现出勇气和决心的 分别形容人物和抽象的勇气 名 烈性黑啤酒 一种用烤过的麦芽或大麦酿造的烈性黑啤酒
indict              动 控告指控 正式指控或控告犯罪 主要北美说法
encyclopedia        名 百科全书 一本书或一套书，提供关于许多主题或一个主题的许多方面的信息，通常按字母顺序排列 同encyclopaedia
synthesis           名 综合 组合部分或元素以形成一个相连的整体 和analysis形成对比后者有分解的意思 化学合成物 由较简单的物质反应而产生化合物
partisan            名 坚定支持者 一个政党、事业或个人的坚定支持者 游击队员 秘密抵抗占领军的武装组织的成员，尤指第二次世界大战中在德国占领的南斯拉夫、意大利和东欧部分地区活动的武装组织的成员 形 偏袒的盲目拥护的 偏袒某一特定事业的 盲目拥护才是偏袒 词源part
sulfur              名 硫 原子序数为16的化学元素，黄色可燃非金属 引申到硫磺硫黄色 动 用硫磺消毒或熏蒸 同sulphur
plaza               名 (露天)广场 建筑区内的公共广场、市场或类似的开放空间 购物中心 a shopping centre 主要北美说法
liner               名 邮轮 一种以前在常规航线上使用的大型豪华客船 也作ocean liner 细画笔 用于画细线和画轮廓的细画笔 (用线)钓鱼船 用线而不是网从事海上捕鱼的船 词根line
