charge          动 收费 要求(一笔金额)作为提供服务或提供货物的价格 指控 正式控告(某人)某事，尤指法律上的罪行 赋予...职责 把任务委托给(某人)作为职责或责任 用法be charged with 充电 将电能储存在(电池或电池驱动的装置)中 名 费用 指控 职责 用法in one's charge  以及短语in charge of 控制或者负责
refreshment     名 茶点 a light snack or drink 恢复活力 给予新的力量或能量 词根refresh 动 恢复活力 修改更新 如技能知识 刷新 计算机用语
gloom           名 昏暗 部分或全部黑暗 失望 a state of depression or despondency 动 有昏暗的外观 看起来失望 同根词gloomy 形 阴暗幽暗的 黑暗的或昏暗的，尤指使人感到压抑或恐惧的 沮丧悲伤的 引起或感到沮丧
expenditure     名 花费 花费资金的行为 开支 an amount of money spent 消耗 金钱外内容的开支 the use of energy, time, or other resources 形似expedition 词根expend 同根词expense
fringe          名 边缘 一个区域或群体的边界或外缘 极端群体活动 一个群体或活动领域中非常规的、极端的或边缘的部分 流苏装饰性边缘 由松散的或形成流苏或扭转的悬挂线组成的装饰性边缘，用于给衣服或布料镶边 刘海 人的前面部分头发剪得垂在前额上 形 非主流的 不属于主流的;非常规的，边缘的或极端的 动 使用fringe装饰
incumbent       形 有责任的 为一种义务或责任，对（某人）来说是必要的 在任的 (指官员或政权)现任的 如在任总统 （公司）占市场份额大的 (指公司)占有相当大的市场份额 名 任职者 the holder of an office or post 
streak          名 条纹条痕 与周围环境不同的物质或颜色的长而细的线或标记 性格特征 某人性格中特定类型的元素 裸奔 在公共场合裸奔以使他人震惊或娱乐的行为 非正式用语 动 在…上留下条纹 飞跑 在一个特定的方向上快速移动 （在公共场所）裸奔
nominal         形 名义上的 (指角色或地位)existing in name only有名无实？ 微不足道的 (指价格或费用)很小的;远低于实际价值或成本 （数量或价值）票面的 (指数量或尺寸)陈述或表达的，但不一定与实际价值完全对应 形似nomination 可惜无关 名 nominate的名词 以及被nominate的人或物 任命提名被提名者
cuisine         名 烹饪风格 烹饪的风格或方法，尤指某一特定国家、地区或机构的特点
merchandise     名 商品 goods to be bought and sold 动 推销商品 促进(商品)的销售，尤指通过在零售店的展示 还可以推销的是想法 自是词根 词源merchant 意似promote
sovereign       名 君主元首 最高的统治者，尤指monarch [面值1英镑的] 金币 一种以前的英国金币，价值一英镑，现在只用于纪念 形 至高无上的 拥有至高无上或终极权力的 有主权的 (指一个国家或其事务)独立行动，不受外界干涉 非常好或有效的 如措施治疗
customary       形 习俗习惯的 根据与特定社会、地方或环境相关的习俗或惯例的 词根custom
drastic         形 极端剧烈的 有强烈或深远影响的;激进且极度
classification  名 分类 对某物进行分类的行为或过程 类别 某物被归入的类别 词根class 同根词classify
malpractice     名 渎职 不合适的、非法的或疏忽的职业行为 如医疗事故 词源mal + practice 形似malignant 词根是malign 词源也是mal 但是发音不同
subscribe       动 订购订阅 通过预付定期安排接收某物，尤指出版物 定期捐款 赞同一个观点/认同一个理论 表示或感觉同意(一种想法或建议) 签署 签署(遗嘱、合同或其他文件) 正式用语
disregard       名动 不理会忽视 pay no attention to; ignore 
imitate         动 模仿仿效 take or follow as a model 作滑稽模仿 模仿(某人的讲话或举止)，尤指为达到喜剧效果 仿造 copy or simulate 同根词imitation 名 模仿 以某人或某物为model的行为 仿制品 为了模仿复制别的东西的东西 意似simulate 动 模仿 模仿…的外表或特征 假装 假装拥有或感觉到(某种情绪) 仿真 产生一个计算机模型 辨析Imitate（常指为逗乐而）模仿（他人的言行），效仿 Simulate：动词，是“冒充，假装”，或“模拟”的意思
counteract      动 抵制抵抗 对抗(某物)以减少其力量或使其中立 如抵抗全球变暖
spectrum        名 光谱 一种颜色带，如在彩虹中所见，是由光的组成部分根据波长的不同程度的折射而分离而成的 电磁波谱 频谱 声谱 大范围 a wide range 如大范围报道
royalty         名 王族成员 有王室血统或地位的人 版税 因专利的使用而支付给专利权人或因图书的每一册销售或作品的每一次公开演出而支付给作者或作曲家的费用 王权 由君主授予个人或公司的王权(现在尤指矿产)
landmark        名 地标 从远处很容易看到和认出的风景或城镇的物体或特征，尤指能使人确定其位置的物体 里程碑 标志着某事物重要阶段或转折点的事件或发现 意似milestone 形似landscape
aide            名 助手 重要人物的助手，尤指政治领袖 同音aid
foresee         动 预见 be aware of beforehand; predict 意似foretell 预言 感觉和foresight得有点关系吧
spectacle       名 精彩表演 视觉上引人注目的表演或展示 奇观 从其视觉冲击力来看的事件或场景 同一个形容词形容performance，display，event，scene 是spectacular词源
nickname        名 绰号外号 昵称竟然是音译 给某人或某物取的熟悉的或幽默的名字，而不是真名 动 取绰号 意似dub
heap            名 堆 杂乱无章地放在彼此上面的一堆东西 用法自然是a heap of 大量 用法a heap of/heaps of 副 大量非常 a great deal 动 堆成堆 对(某人或某事)大加赞扬、谩骂、批评等  意似stack 两者区别更多在cs领域
bruise          名 青肿 由于击打或撞击使皮下血管破裂而造成的身体皮肤变色的损伤 碰伤 表明水果、蔬菜或植物上受损区域的标志 形容水果和蔬菜 动 使出现伤痕 在(身体的一部分)造成瘀伤 还可以使蔬菜水果的碰伤伤害某人的情绪感受 压碎或捣碎(食物)
divert          动 使改道转向 使(某人或某物)改变路线或从一个方向转向另一个方向 如车辆改变路线 金钱资源改变用途 重新分配(金钱或资源)到不同的目的 转移注意力 吸引某人注意力从某事到另一事 使愉悦  entertain or amuse:
poke            动 戳 用手指或锋利的物体戳某人或某物 引申到戳出个洞男性的性交 伸出 把(某物，如某人的头)朝一个特定的方向推 名 戳性交
exempt          形 被免除的 没有强加于他人的义务或责任的 动 免除 免除(个人或组织)强加于他人的义务或责任 注意免除的是责任义务 如被免除收费 名 被免除（义务或责任）的人（尤指被免税者） 
ventilate       动 使通风 使空气进入并在(房间、建筑物等)内自由流通 给供氧 使用机器或设备来支持或代替(生病、受伤或麻醉的人)的呼吸 公开表达 公开讨论或审查意见、问题或抱怨 开枪打死(某人) 非正式用语 词根vent
parole          名 假释 在服刑期满前，以保证表现良好为由暂时或永久释放囚犯 动 假释囚犯 假释是对被判处有期徒刑、无期徒刑的犯罪分子，在执行一定刑期之后，因其遵守监规，接受教育和改造，患有严重疾病或确有悔改表现，不致再危害社会，而附条件地将其予以提前释放的制度，是一种刑罚执行方式。
