bibliography            名 参考文献 学术著作中参考书目的清单，通常印刷在附录 书单书目 特定作者或出版商的书单，或关于特定主题的书单
ascribe                 动 把...归因于 regard something as being due to (a cause) 把...归属于 认为某一品质属于某个人或认为某一文本、引文或艺术作品是由(某一特定的人或时期)创作或属于(某一特定的人或时期) 形似aspire conspire 意似attribute  ascribe指根据推论或猜想把……归于某人或某物，含主观臆断成分较重。attribute指出于相信而把……归于某人或某物，含较多的客观性，且日常对话中用得多。前者只有动词后者还有名词。
oath                    名 宣誓 关于某人未来的行动或行为的庄严的承诺，常援引神圣的见证以及在法庭上宣誓的声明，如承诺讲真话 一个关键词 咒骂 用来表达愤怒或其他强烈情感的粗俗或亵渎的词或短语
correspondence          名 相似关联 相近的相似、联系或等同 通信 通过交换信件、电子邮件或其他信息进行交流 信件 letters, emails, etc. sent or received 词根correspond 意思差不多一一对应
probability             名 可能性 可能的性质或状态;某事可能发生或发生的程度 可能的事 a probable or the most probable event 数学上的概率 词根probable 加了个重音
buzz                    名 嗡嗡声 由昆虫发出或类似于昆虫发出的低而持续的嗡嗡声或喃喃声 兴奋和活跃的气氛 动 发出嗡嗡声 有兴奋和活跃的气氛 用法be buzzing with 快速忙碌移动 move quickly or busily
fabricate               动 伪造捏造 为了欺骗而发明(某物) 生产制造 构造或制造(工业产品)，尤指用准备好的部件 意似forge 动 锻造 建立 建立如强壮持久成功的东西 伪造
successor               名 继任者替代物 接替另一个的人或物 词根success
trophy                  名 奖杯 作为胜利或成功的奖品而授予的杯子或其它装饰物 战利品狩猎纪念品 成就的纪念品，尤指狩猎时获得的动物的一部分
levy                    名动 征收 impose (a tax, fee, or fine)带有强行的意思 扣押财产 扣押（财产）以履行法律判决 古语征兵 可能也有强制的意思 
alloy                   名 合金 由两种或两种以上金属元素结合而成的金属，尤指具有更强的强度或抗腐蚀性 动 将…铸成合金 形似alien align alley alliance
inborn                  形 天生的 existing from birth
malignant               形 恶意恶毒的 性质或效果邪恶的;恶毒的 恶性的 (指疾病)凶猛的或传染性很强的或者(指肿瘤)易于侵入正常组织或切除后复发的;癌变的此时为benign反义词
lavish                  形 奢华的 慷慨大方的 (指人)非常慷慨的或奢侈 大量的 spent or given in profusion 动 慷慨（或过度）给予 赠送大量或奢侈的东西
animate                 动 使...有生气 bring to life 激励 给…灵感、鼓励或新的活力 把……制作成动画 用动画技术赋予(电影或人物)运动的外观 让静止的图像有生气？ 形 有生命的 alive or having life 
progressive             形 逐步的 逐渐或分阶段发生或发展的 进步的 (指人或思想)赞成社会改革赞成改变或革新 名 改革派 社会改革的倡导者 
numerical               形 数字的 与数字有关或表示为数字的 词根numeric
immerse                 动 浸泡 浸没在液体中 使沉浸专心 深深投入到某项活动中 用法immerse oneself or be immersed 意似swamp submerge saturate
foretell                动 预言 predict (the future or a future event) 意似divine foresight
trumpet                 名 小号 一种铜管乐器，有喇叭口和明亮而有穿透力的音调 小号明确是一种乐器喇叭是唢呐别称又有更普遍的意思 动 演奏小号 宣扬大肆宣传 广泛地或大声地宣告 形似triumph
illusion                名 错觉幻觉 对感官体验的错误或误解的看法 假象 欺骗性的外表或印象 幻想错误观念 a false idea or belief: 意似fantasy 
hum                     动 发出嗡嗡声 发出低沉、稳定、连续的声音，就像蜜蜂的叫声一样 活跃 be in a state of great activity用法was humming with和buzz同 发臭 smell unpleasant 名 嗡嗡声 低沉、稳定、连续的声音
provocative             形 挑衅的 引起愤怒或其他强烈反应的，尤指故意的 撩人的 意图或打算引起性欲或兴趣的 词源provoke 形似advocate
locomotive              名 火车头机车 牵引火车的动力轨道车辆 机车是牵引或推送铁路车辆运行，而本身不装载营业载荷的自推进车辆，俗称火车头 形 运动的 关于或影响运动的
enforce                 动 强迫遵守服从 强迫遵守或服从(法律、规则或义务) 强制实施 通过必要措施或力量使(某事)发生
stagger                 动 蹒跚 摇摇晃晃地行走或移动，好像要摔倒似的 使震惊 astonish or deeply shock 使错开 安排(活动、付款、工作时间等)，使它们不会同时发生 名 蹒跚 交错安排 意似stumble
rust                    名 绣 在铁或钢上因氧化而形成的红色或黄褐色片状氧化铁涂层，尤指在有水分的情况下 （植物的）锈病 一种植物真菌病，造成红色或褐色斑块 红褐色生锈的颜色 动 生锈
shatter                 动 打碎使破碎碎裂 突然地、猛烈地折断或使折断成碎片 破坏摧毁 损坏或毁坏(抽象的东西) 使极为惊愕难过给予极大打击 使(某人)非常伤心
invert                  动 倒置颠倒 颠倒的或在相反的位置、顺序或安排上放置
magnificent             形 壮观壮丽的 极其美丽的，精致的或令人印象深刻的 极好的very good; excellent 意似splendid spectacular 
summon                  动 召唤 命令(某人)出现 传唤 权威性地传唤(某人)作为被告或证人出庭 鼓起（勇气）振作（精神） 努力从自己的内心产生(某种特殊的品质或反应) 用法summon up 进行自行召唤说是
psychiatry              名 精神病学 与精神疾病的研究、诊断和治疗有关的医学分支。
yearn                   动 渴望 对某样东西有强烈的渴望，尤其是失去或分离的东西 意似aspire
