apt             形 适当合适的 在环境中适当的或合适的 易于做某事 有做某事的倾向的 聪明的学起来快的 quick to learn 形容学生  意似prone 
reassure        动 使安心 说或做某事来消除(某人的)疑虑或恐惧 形似assure 动 保证 告诉别人一些积极的事情来消除任何疑虑 确保 使某事确定发生 re的前缀和ac差不多 加重要表达的意思程度更深
notable         形 值得注意的引人注目的 worthy of attention or notice;remarkable 名 名人要人 a famous or important person 同根词notably 副 尤其及其同especially，in particular 显眼的即以一种引人注目注意的方式
showcase        名 玻璃陈列柜 在商店或博物馆里用来展示物品的玻璃柜 展示场合 使某物受到普遍注意的地方或场合 如这个展览画展给某些人提供了展示场合 动 展示 exhibit; display
fragile         形 易碎的 形容物体 (of an object) easily broken or damaged 脆弱的虚弱的 形容人或者抽象的东西 容易被摧毁或受到威胁(指人)不强壮的;脆弱的 意似delicate 
clearing        名 林中空地 森林中的空地，尤指为耕种而开垦的空地 本科生补招制度 大学用来在学年开始前填补剩余本科生名额的制度
expend          动 花费耗尽 花费或用完(金钱或能量等资源) 同根词expense expenditure 形似spend
command         动 命令 发出权威的或强制性的命令 指挥 从优越的高度支配(战略位置) 控制 be in a strong enough position to have or secure 名 命令 指挥 控制
rap             动 敲打 用一连串能听到的快速击打(坚硬的表面)，尤指为了引起注意 引申到严厉批评 闲聊 以轻松和熟悉的方式交谈或聊天 表演rap音乐 名 敲打 严厉批评 闲聊 一种音乐
gauge           名 测量仪器 一种测量并显示某物的数量、水平或内容的仪器 厚度宽度直径 某物的厚度、大小或容量，尤指作为标准度量 动 测量估计 估算或确定…的数量、水平或体积 精确测量 用测量仪器测量(物体)的尺寸
splash          名 飞溅声 某物撞击或落入液体时发出的声音 轰动 轰动的新闻故事 非正式用语 动 溅起 使(液体)以不规则的滴状物撞击或落在某物上 在显著位置刊登 在报纸或杂志的显著位置刊登(故事或照片，尤指耸人听闻的) 溅本身就是水做被动 不管是飞溅声还是溅起
equate          动 认为等同 认为(一事物)与另一事物相同或等同 用法equate...with... 人作主语  相同等同 (指一件事)与(另一件事)相同或等同 用法equate to/with 物作主语且不及物 使相同 使(两个或两个以上的事物)在数量或价值上相同 物作主语及物 所以结论是记住等同即可
inland          形 内陆的 位于一个国家内陆而不是沿海的 国内的 在一个国家的范围内进行 用于英式英语 副 在向内陆 在或朝向一个国家的内陆
thrift          名 节俭 谨慎而不浪费地使用金钱和其他资源的品质
smash           动 击碎 把(某物)猛烈地打碎 猛撞 以巨大的力量和冲击力撞击或碰撞某物 击不碎的情况就是猛撞？ 名 smash的声音
detergent       名 洗涤剂 一种水溶性清洁剂，能与杂质和污垢结合使其更易于溶解，任何与清洁剂作用类似的添加剂，如油溶性物质 形 洗涤的 relating to detergents or their action
ceramic         形 陶瓷的陶土的 由粘土制成，受热后永久变硬 陶瓷陶土制品的 名 陶瓷陶土制品 由加热变硬的粘土制成的锅和其他物品 制陶器艺术 更加倾向于制品而非陶瓷本身 陶土 制作陶瓷的材料或者任何非金属固体，受热后仍保持坚硬 辨析ceramic 陶瓷统称 统称非集合是都可以叫的意思 porcelain 高温瓷
flatter         动 奉承 对(某人)慷慨的赞扬和恭维，通常是不真诚的，目的是促进自己的利益 感到荣幸 使(某人)感到荣幸和高兴 用法 be/feel flattered to 自命不凡 选择相信一些对自己有利的事情，尤其是当这种信念是没有根据的时候 用法flatter oneself
rip             动 撕破撕碎 迅速地或强行地从某物或某人身上撕下或拉下(某物) 迅速穿过 迅速而有力地移动 严厉批评 scold or criticize harshly: 名 裂口 a long tear or cut 撕破 an act of tearing something forcibly
breach          名 违反违规行为 违反或不遵守法律、协议或行为准则的行为 缺口 墙、屏障或防御上的缺口，尤指由进攻军队制造的缺口 动 在...上打开缺口 在(墙、障碍或防御)上制造缺口并突破 违反 违反或不遵守(法律、协议或行为准则) 物理的打开缺口就是抽象的违规？
besiege         动 围攻围困 指挥军队去围 用武装力量包围(一个地方)以占领它或迫使它投降 团团围住 被人围住 拥挤不堪被包围 包围纠缠 被抽象的东西围住 被大量的请求或投诉淹没 形似siege 名 包围 军事上或警察的为了强迫头像的目的
eccentric       形 古怪的 (指某人或他们的行为)不合常规的，有点奇怪的 名 古怪的人 观点或行为不合常规且略显古怪的人
stalk           名 茎 草本植物的主干 动 偷偷接近 偷偷地追求或接近 跟踪骚扰 以不需要的和强迫性的关注骚扰或迫害(某人) 昂首阔步 以骄傲的、僵硬的或愤怒的姿态大步走到某处 名 偷偷接近 昂首阔步
guardian        名 保卫者 保护或捍卫某物的人 监护人 在法律上负责照顾不能管理自己事务的人的人，尤指父母去世的孩子 自是词根
counterfeit     形 伪造的假冒的 为了欺骗或欺骗而精确模仿有价值的东西的 名 伪造物 对别的东西的欺骗性模仿 动 伪造 imitate fraudulently 关键点就是欺骗性的模仿 形似fabricate forge forfeit
bud             名 芽花蕾 植物上发育成叶、花或芽的致密生长物 北美非正式大麻 老兄 友好称呼 动 发芽长出花蕾 (of a plant or animal) form a bud  花蕾是花的未开放的部分，一个子弹头的样子
homogeneous     形 同种族的同质的同类型的 consisting of parts all of the same kind 也做homogenous
optimum         形 最适合的最佳的 最有助于最好结果的;最好的 如最佳生育年纪 名 最佳条件
repertoire      名 全部节目剧目 剧团或表演者知道或准备表演的一系列戏剧、舞蹈或项目 全部本领技能 一个人习惯使用的一系列技巧或行为类型 形似reservoir
devour          动 吞食 饥饿地或迅速地吃(食物或猎物) 吞没毁灭 (指火或类似的力量)完全摧毁 如火摧毁吞没了房子 如饥似渴的阅读 read quickly and eagerly 充满（感情） 完全被一种强烈的感觉所吸引 用法be devoured 从食物到具象物体到抽象文字到情感
agony           名 极度痛苦 身体和精神上的 extreme physical or mental suffering 艰难或痛苦死亡的最后阶段
eject           动 火山喷射 以猛烈或突然的方式强行或扔出(某物) 引申到弹出磁带弹壳飞机弹出人 驱逐 强迫(某人)离开某地 排出 emit; give off 如动物排除二氧化碳 意似hurl thrust
inclusive       形 全包括的包括一切的 包括所有通常期望或要求的服务或项目 包容的 不排除涉及某事的任何党派或团体 不排斥任何群体的 旨在为可能被排斥或边缘化的人，例如身体或智力残疾的人或属于其他少数群体的人
