federation              名 联邦政府 有中央政府但在内部事务上独立的一组state 结成联邦联盟 把国家或组织组成一个集中控制的单一集团的行动 同根词federal 联邦制的
lass                    名 少女年轻女人 a girl or young woman 意似lad maiden
kin                     名 亲属 一个人的家人和亲戚 近亲 与某一特定物种或种类有关的动物或植物 关键词种类有关 形 (人)有亲戚关系的 (of a person) related 形似chin
dispatch                名动 发送派遣 送至目的地或为某一目的 人是派遣物是发送 动 迅速完成迅速打败 迅速而有效地处理(任务或对手) 名动 杀死 同kill
naked                   形 裸体的 (指人或身体的一部分)不穿衣服的 引申到	(指物体)没有通常的覆盖物或保护的如无罩灯(指树、植物或动物)无叶、无毛、无鳞等,暴露于伤害的无保护的 短语naked of 缺乏 同devoid of  不加掩饰的公然的 (尤指感情或行为)公开表达的undisguised 意似nude
pistol                  名 手枪 一种设计成单手握的小枪 动 用pistol射击 意似handgun
subtract                动 减去 把(一个数或数量)从另一个数或数量中取出来计算差额 引申到去除 从别的东西拿走(某物)以减少大小、数量或数量 不仅仅是数量了 辨析minus用于口头 subtract和from搭配 从什么中减去
concede                 动 承认 先否认或抵制某事后承认或同意它是真的 如承认比赛失败 让与 放弃或让步(财产、权利或特权) 如领土比赛胜利
chin                    名 下巴 辨析chin是嘴下长胡子的部分 而jaw是说话时整个会动的下巴
webcast                 名动 网络直播  词源broadcast 不是cast
bribe                   动 贿赂 用金钱或其他引诱手段不诚实地说服(某人)做对自己有利的事 名 贿赂 为贿赂某人而提供或给予的一笔钱或其他引诱物 而不是动作或状态 是唯一贿赂
drunk                   形 醉酒的 受酒精影响而失去控制能力或行为的 名 酒鬼 醉酒的人或习惯性酗酒的人 自身也是drink的过去形式
fulfil                  动 实现 实现(期望的、承诺的或预测的东西) 如实现雄心壮志 履行 按要求、承诺或期望履行(职责或角色) 引申到满足 满足(要求、条件或需要) 可能是物的履行
clash                   名动 冲突 violent confrontation 现实中打起来的冲突 分歧争论 an incompatibility leading to disagreement 不搭配 指颜色当彼此靠近时显得不协调或丑陋 指颜色 时间上的冲突撞期 事件或活动在时间上的不方便的巧合  短语royal clash
dual                    形 双重的 由两个部分方面组成 如双重目的 音似due但多了最后两个音
axe                     名 斧头 砍柴用的工具，尤指带有钢边和木柄的铁制 裁减 旨在大幅度减少成本的措施，尤指涉及裁员的措施 用法the axe 动 解雇裁减 突然剧烈的解雇减少开支服务 形似ax美式写法 前者英式 音似x axe和x发音大小元音之差 形似axis
horsepower              名 马力 英制功率单位，等于550英尺磅每秒(约750瓦)
cohesion                名 团结一致性完整性 形成一个统一整体的行为或事实 如人团结物体一致性完整性 同根词coherent coherence coherence是指上下文内容和逻辑的连贯。如前因后果，铺垫等等。 cohesion则是通过一些代词、连接词
amongst                 介 在什么之中 同among amongst主要用于英国 意似amid
synthetic               形 合成的人造的 (指物质)由化学合成而成，尤指模仿天然产物 引申到虚假的虚伪的 (指感情或行为)不真实的;不真诚的 综合的是语言学的意思很少见 名 合成物 合成材料或化学物质，尤指纺织纤维
erect                   动 建造竖立 把(建筑物、墙或其它结构)组装起来并竖立起来 也没有脱离那个原始意思 创立 创立或建立(理论或体系) 形 直立的竖直的 rigidly upright or straight 勃起的挺起的 (指阴茎、阴蒂或乳头)肥大而僵硬的，尤指在性兴奋时
payroll                 名 工资名单 公司雇员的名单和他们的工资数额 工资总支出 公司支付的工资总额
bowel                   名 肠 胃下消化道的一部分 内部最深处 (某物)最深的内部部分或区域 如地球内部最深处 用法the bowels of
stool                   名 凳子 没有靠背或扶手的座位，通常有三条或四条腿或一个基座 粪便 a piece of faeces
hedge                   名 树篱 由紧密生长的灌木或灌木形成的栅栏或边界 防护措施 保护自己免受经济损失或其他不利情况的方法 动 用树篱围住包围 surround with a hedge 引申到包围 对冲防止…损失 通过平衡或补偿交易来保护自己免受(赌注或投资)的损失 就是相应名词的动词形式更加具体而已 
confess                 动 承认坦白 承认某人犯了罪或做了错事或是不情愿地承认某事，通常是因为某人感到有点羞愧或尴尬 认罪忏悔 向牧师正式宣布自己的罪过
pronoun                 名 代词 如I she noun名词
kneel                   动 跪下 处于或采取一种由膝盖支撑身体的姿势，如在祈祷或表示服从时 唯一跪下 意似stoop
overdue                 形 到期未付还的 未在预期时间内到达、发生或完成的 引申到女人的月经孩子的生产图书馆还书未在预期的
podcast                 名 播客节目 一种可在因特网上下载到计算机或移动设备上的数字音频文件，通常以系列形式提供，用户可自动接收其中的新一期
coil                    名 卷盘 一段被连成同心环的东西 动 把...卷起盘起 把(长而灵活的的东西)卷成coil 
regarding               介 关于 in respect of; concerning 形似preceding providing
municipal               形 市政的 与城镇、地区或其管理机构有关的
brow                    名 额头 a person's forehead 眉毛 an eyebrow 意似frown forehead只有前额
prose                   名 散文白话文 没有韵律结构的普通形式的书面语或口语 即非诗歌 和那个散文不同
briefcase               名 公文包 带把手的长方形皮革或塑料容器，用来装书和文件
grin                    名动 咧嘴笑露齿笑 smile broadly
