preliminary             形 初步的预备的预赛的 为更充分或更重要的事情做准备的 名 初步活动预赛 a preliminary action or event: 意似prerequisite
presumably              副 大概 用来表示所断言的事情虽然不确定，但很可能发生 词根presume 意似perhaps
preventive              形 预防的 防止疾病或伤害等不良事件发生的 名 预防药预防疗法 用来预防疾病或不健康的药物或其他治疗方法
provoke                 动 激怒刺激或引起某人的反应或情绪，通常是强烈的或不受欢迎的 激起 刺激或煽动(某人)做某事或感觉某事，尤指通过激起他们的愤怒 形似invoke调用
rebel                   名 叛乱者 反对或武装抵抗已建立的政府或领导人的人 反抗者 反抗权威、控制或习俗的人 动 叛乱 反对或武装抵抗已建立的政府或领导人的起义 反抗 抵制权威、控制或习俗 嫌恶 对某事表现出或感到厌恶或抗拒 程度依次降低 同根词rebellion 意似defect
reckon                  动 估计计算 establish by calculation 认为 consider or regard in a specified way 意似deem
region                  名 地带 一个地区，尤指一个国家或世界的一部分，具有明确的特征，但并不总是有固定的边界 身体部位 身体的一部分，尤指器官周围或附近 短语in the region of 大约 意似area zone belt
retreat                 动 撤退 (指军队)由于敌军的优势或战败而从敌军手中撤退 引申到后退move back or withdraw如退到阴影中隐退退到一个安静或隐蔽的地方改变看法由于批评或困难而改变主意或计划股价下跌(指股票)价值下降 名 撤退后退 撤退信号 改变看法 隐居处 股价下跌
reunite                 动 再统一联合重聚 在一段时间的分离或分裂后走到一起或导致再次走到一起 不同对象不同意思 同根词reunion
revolutionary           形 革命性的 涉及或引起完全或剧烈变化的 革命的 从事或推动政治革命的 名 革命者 主张或从事政治革命的人
riot                    名 骚乱 人群对和平的猛烈扰乱 丰富多彩 某物令人印象深刻的巨大或多样的展示 如颜色情感 用法a riot of 非常有趣的人或事物 非正式用法 动 发生骚乱 参加一场激烈的公共骚乱
satellite               名 人造卫星 放置在地球、月球或其它行星轨道上的人造物体，目的是收集信息或进行通讯 也作artificial satellite 卫星 绕地球或其它行星运行的天体 天文学用语 卫星国卫星城 与另一事物分离或处于另一事物的边缘，但仍依赖或受其控制的事物 如经济政治上的依赖
scenario                名 剧本 电影、小说或舞台剧的书面大纲，给出情节和个别场景的细节 设想的情况情况 a postulated sequence or development of events 背景 背景，尤指艺术或文学作品的背景 如二战背景不一定是艺术文学 意似scene scenery
selfish                 形 自私的 (指人、行为或动机)不顾及他人的;自私的:主要关注个人利益或快乐的
selfless                形 无私的 关心他人的需要和愿望多于关心自己的
seminar                 名 研讨会 a conference or other meeting for discussion or training 研讨班 大学里由老师和一小群学生讨论一个话题的课堂 其实着重于后一个意思
shallow                 名 浅的 of little depth 物理的浅 肤浅浅薄的 不要求或不能严肃思考的 意似light 形容浅色 名 浅滩 水不是很深的海、湖或河的区域 用法shallows 动 变浅 (指海、湖或河)随着时间的推移或在一个特定的地方变得不那么深
sheer                   形 完全的十足的 nothing other than; unmitigated用于强调 垂直的陡峭的 (尤指悬崖或墙壁)垂直的或近似垂直的 轻薄的 (指织物)很薄;轻薄的 意似steep stark
simplicity              名 简单 容易理解或容易做的性质或状态 朴素 在形式或设计上简单或不复杂的性质或状态
slap                    动 拍打 用手掌或扁平物体击打或击打 引申到击打或撞向某物带有拍打的声音 如水拍打岸 啪的一声放下随意扔放 迅速地、不小心地或用力地把(某物)放在某地 名 拍打 拍打声 短语slap sb's face 打耳光 意似slam bang
sleeve                  名 袖子 衣服全部或部分盖住人手臂的部分
soak                    名动 浸泡弄湿 通过浸泡在液体中使(某物)完全变湿 形似soap soup 意似immerse
sociology               名 社会学 研究人类社会的发展、结构和功能的学科
craft                   名 手艺工艺 涉及手工制作的技巧的活动
sparkle                 动 发光闪耀 用闪光发出明亮的光芒 变得活泼风趣 be vivacious and witty 形容人 名 闪光 活泼风趣 词源spark
speculate               动 猜测 在没有确凿证据的情况下对某一主题形成理论或猜测 投机 投资股票、房地产或其他风险投资，希望获得收益，但要承担损失的风险 形似suspicion spectacular suspect 意似divine
stiff                   形 硬的 不易弯曲或改变形状的 僵硬的 仅仅是不易弯曲或改变形状带来的 艰难严厉剧烈的 severe or strong 形似ridge 意似rigid
stock                   名 存货 存放于商店或仓库中供销售或分销的货物或商品 股本 公司通过发行和认购股票筹集的资金 股票 某一特定公司、公司类型或行业的股份 形似 stocking sock 辨析stock share 首先，它们的本质是一样的，都是股票。区别在于前者表示整体，后者表示部分。share是stock的划分单位。举个栗子：如果把一家公司发行的所有股票看做一个切成100等份的蛋糕，那么stock就是这整个蛋糕，share就是其中一块蛋糕，也就是蛋糕的最小划分单位。再通俗一点，stock是我们常说的一只股票，也就是对同一家公司发行的股票的统称。share是一股股票。
sway                    动 摇摆 缓慢地或有节奏地前后或左右移动或使其移动 影响动摇 控制或影响(某人或行动过程) 名 摇摆 从一边到另一边的有节奏的运动 影响统治控制 rule; control
tender                  形 温柔慈爱的 表现出温柔、善良和感情的 如人吻 嫩的 (指食物)容易切或咀嚼的;不硬 一触即痛的 指身体的一部分对疼痛敏感的 如受伤处 年轻的 年轻没有经验的或脆弱的 动 正式提出提供 offer or present (something) formally 引申到投标 提出正式的书面要约，以规定的固定价格进行工作、供应货物或购买土地、股份或其他资产 名 投标 以规定的固定价格进行工作、供应货物或购买土地、股份或其他资产的要约 词根tend 意似speculate
temper                  名 脾气情绪 一个人的精神状态，表现为生气或平静 易怒脾气 容易生气的倾向 怒气  an angry state of mind
treaty                  名 条约 国家间正式缔结和批准的协定 政治上的 合同 法律上的 即双方正式的协议 词根treat  意似 clause条款
tyre                    名 轮胎 一种橡胶覆盖物，通常是充气的或包围充气的内胎，放置在车轮周围以与路面形成柔软的接触
underneath              介 在下面 位于正下方(别的东西) 辨析under, underneath, below, beneath Under：几乎仅用作介词，当一个物体处于比另一物体低的位置，或者被上面的物体所覆盖时，我们常常用under来表达 Underneath：与“under”含义相似，尤其适用于被隐藏或被覆盖的情况。Underneath也可以用作副词和名词：Below：当一个事物的位置远低于另一个事物时，最好使用below来表达。below可以是介词，也可以做副词用 Beneath：可以与under和below相同的方式和含义使用，但是更文学或正式些。Beneath可用作介词和副词
undo                    动 解开 解开或松开(某物) 如绳子拉链 消除……影响或结果使恢复原状 取消或逆转(先前的行动或措施)的效果或结果 引申到计算机中的撤销命令
uneasy                  形 忧虑的令人不安的 引起或感到焦虑的;困扰的或不舒服的 不稳定的 (指情况或关系)未安定的;易变 意似anxious uncomfortable unrest restless
van                     名 送货车 一种中型机动车辆，通常后部没有侧窗，用于运输货物
